source,url,title,fetched_at,brand,mpn,attrs,condition,is_kit,kit_module_count,unit_price_usd,kit_price_usd,quantity_available,seller_name,seller_rating_pct,seller_feedback_count,ship_from_country,qvl_status,flags,total_for_target_usd
ebay_search,https://www.ebay.com/itm/389973116703?_skw=breville+barista+express&hash=item5acc35871f:g:cvIAAeSw-Bhp9-oU&amdata=enc%3AAQALAAABAACCtXRWQnOEpyOqnQQ8KGZ6QwndJm38psvVJS9zZJs%2FqsYYNBBnf7m67KHcj3GhQEI%2FKeY9nHiq2BEzV444pIjz5oNn6Ry7NMHc0p9LDHda%2FZApyGXu3INV6vBOF9E0cuHLwwIHxv69AZFUw4gKAEiLl6VUpRDg8T3OSABTWpu9R6NUhRWK%2FZlCrP4aVNl3%2F1gAMOasce7RLfWxLbUD9SDoZD%2BDQSXS1451n9Q%2B3e65KQO3YRjylmgXKwknCAulIYud18wD1m0l0EN9bJ074zgXhOVWkRMZTxXdG2RVgQUdmbwCb%2BK%2FDGTx5BhaazS11FJJ5kZFnQgcIMAGQWhaUxI%3D,Breville Barista Express Espresso Machine BES870XL Brushed Stainless Steel (NEW),2026-05-04T17:39:45.476001+00:00,,,{},new,0,1,485.95,,,ilikecand0,94.6,33,US,unknown,"[""low_feedback"", ""unknown_quantity""]",
ebay_search,https://www.ebay.com/itm/188340904153?_skw=breville+barista+express&hash=item2bd9fe20d9:g:qesAAeSwRZlp9lG2,Breville the Barista Express BRAND NEW UPC 021614814951,2026-05-04T17:39:45.476035+00:00,,,{},new,0,1,449.0,,,electronicanj,99.1,578,US,unknown,"[""unknown_quantity""]",
ebay_search,https://www.ebay.com/itm/406901172060?_skw=breville+barista+express&hash=item5ebd33275c:g:dcUAAOSwoUpjhwUe,Breville Barista Express Impress Espresso Machine - BES876BSS1BNA1 (Silver),2026-05-04T17:39:45.476048+00:00,,,{},new,0,1,620.0,,,azrieltzion,99.4,570,US,unknown,"[""unknown_quantity""]",
ebay_search,https://www.ebay.com/itm/389956657595?_skw=breville+barista+express&hash=item5acb3a61bb:g:SeMAAeSw1Hpp80Xv,Breville Barista Express BES870XL Espresso Machine Stainless Steel - Brand New,2026-05-04T17:39:45.476062+00:00,,,{},new,0,1,514.99,,,blamedeals,100.0,302,US,unknown,"[""unknown_quantity""]",
ebay_search,https://www.ebay.com/itm/397890884521?_skw=breville+barista+express&hash=item5ca42513a9:g:9YkAAeSwK8Np8Yab,Breville the Barista Express BRAND NEW,2026-05-04T17:39:45.476112+00:00,,,{},new,0,1,475.0,,,elbrad86,91.7,13,US,unknown,"[""low_feedback"", ""unknown_quantity""]",
ebay_search,https://www.ebay.com/itm/117162191484?_skw=breville+barista+express&hash=item1b47692a7c:g:ELcAAeSw0lVp7PbO,BREVILLE THE BARISTA EXPRESS ESPRESSO MACHINE - BES870XL (E10049660) 1Y WARRANTY,2026-05-04T17:39:45.476181+00:00,,,{},new,0,1,549.97,,,gurumi1,98.9,2915,US,unknown,"[""unknown_quantity""]",
ebay_search,https://www.ebay.com/itm/358511771280?_skw=breville+barista+express&hash=item5378f77e90:g:lMwAAeSwPmNp9irt,Breville the Barista Express Espresso Machine -  Stainless Steel (E10048614),2026-05-04T17:39:45.476231+00:00,,,{},new,0,1,469.95,,,findlotsmorestore,99.0,196,US,unknown,"[""unknown_quantity""]",
ebay_search,https://www.ebay.com/itm/157428929998?_skw=breville+barista+express&hash=item24a77ed5ce:g:yWwAAeSwJKtpG5O5,Breville BES870XL Barista Express - Stainless Steel,2026-05-04T17:39:45.476418+00:00,,,{},new,0,1,549.95,,,wholelatteloveoutlet,99.1,4141,US,unknown,"[""unknown_quantity""]",
ebay_search,https://www.ebay.com/itm/198059835304?_skw=breville+barista+express&hash=item2e1d493fa8:g:exEAAeSw-PppeUoa,NEW - Breville Barista Express Brushed Stainless Steel Espresso Machine - SEALED,2026-05-04T17:39:45.476483+00:00,,,{},new,0,1,479.2,,,pimedeals077,100.0,24,US,unknown,"[""low_feedback"", ""unknown_quantity""]",
ebay_search,https://www.ebay.com/itm/147290543373?_skw=breville+barista+express&hash=item224b33550d:g:WQMAAeSwH-dp9mic,Breville Barista Express BES870BST Espresso - Black Stainless Steel (E10049902),2026-05-04T17:39:45.476518+00:00,,,{},new,0,1,529.95,,,ezpawncorpnyc,98.6,11545,US,unknown,"[""unknown_quantity""]",
ebay_search,https://www.ebay.com/itm/366381723860?_skw=breville+barista+express&hash=item554e0d70d4:g:oNUAAeSwzp1p9NB3,"Breville Barista Express® Impress Espresso Machine, 2 Liters, Brushed Stainless",2026-05-04T17:39:45.476531+00:00,,,{},new,0,1,785.0,,,bpzgap,99.6,80353,US,unknown,"[""unknown_quantity""]",
