source,url,title,fetched_at,brand,mpn,attrs,condition,is_kit,kit_module_count,unit_price_usd,kit_price_usd,quantity_available,seller_name,seller_rating_pct,seller_feedback_count,ship_from_country,qvl_status,flags,total_for_target_usd
ebay_search,https://www.ebay.com/itm/389973116703?_skw=breville+barista+express&hash=item5acc35871f:g:cvIAAeSw-Bhp9-oU&amdata=enc%3AAQALAAABAACCtXRWQnOEpyOqnQQ8KGZ6QwndJm38psvVJS9zZJs%2FqsYYNBBnf7m67KHcj3GhQEI%2FKeY9nHiq2BEzV444pIjz5oNn6Ry7NMHc0p9LDHda%2FZApyGXu3INV6vBOF9E0cuHLwwIHxv69AZFUw4gKAEiRDz4q%2BVFPvjyffLm8lvqb3nJZyu6tgy0ltiWodOV%2FeCgM7LRU2GrnUqwk2TJfFLsxJa%2B0wfzqD5x8h7HhRGmkzsiYXWkLke8oIJNt640gSq%2BPrJjiCRUoGkzZ1GwVMRe7mhEnw8m8rBqsgrvboj1Ne5I69VCLgXFnvZyjBRDxKq1UiE9fYA4Dow5S9Vi1XPk%3D,Breville Barista Express Espresso Machine BES870XL Brushed Stainless Steel (NEW),2026-05-04T17:45:35.829695+00:00,,,{},new,0,1,485.95,,,ilikecand0,94.6,33,US,unknown,"[""low_feedback"", ""unknown_quantity""]",
ebay_search,https://www.ebay.com/itm/188340904153?_skw=breville+barista+express&hash=item2bd9fe20d9:g:qesAAeSwRZlp9lG2,Breville the Barista Express BRAND NEW UPC 021614814951,2026-05-04T17:45:35.829726+00:00,,,{},new,0,1,449.0,,,electronicanj,99.1,578,US,unknown,"[""unknown_quantity""]",
ebay_search,https://www.ebay.com/itm/406901172060?_skw=breville+barista+express&hash=item5ebd33275c:g:dcUAAOSwoUpjhwUe,Breville Barista Express Impress Espresso Machine - BES876BSS1BNA1 (Silver),2026-05-04T17:45:35.829740+00:00,,,{},new,0,1,620.0,,,azrieltzion,99.4,570,US,unknown,"[""unknown_quantity""]",
ebay_search,https://www.ebay.com/itm/389956657595?_skw=breville+barista+express&hash=item5acb3a61bb:g:SeMAAeSw1Hpp80Xv,Breville Barista Express BES870XL Espresso Machine Stainless Steel - Brand New,2026-05-04T17:45:35.829752+00:00,,,{},new,0,1,514.99,,,blamedeals,100.0,302,US,unknown,"[""unknown_quantity""]",
ebay_search,https://www.ebay.com/itm/397890884521?_skw=breville+barista+express&hash=item5ca42513a9:g:9YkAAeSwK8Np8Yab,Breville the Barista Express BRAND NEW,2026-05-04T17:45:35.829803+00:00,,,{},new,0,1,475.0,,,elbrad86,91.7,13,US,unknown,"[""low_feedback"", ""unknown_quantity""]",
ebay_search,https://www.ebay.com/itm/117162191484?_skw=breville+barista+express&hash=item1b47692a7c:g:ELcAAeSw0lVp7PbO,BREVILLE THE BARISTA EXPRESS ESPRESSO MACHINE - BES870XL (E10049660) 1Y WARRANTY,2026-05-04T17:45:35.829871+00:00,,,{},new,0,1,549.97,,,gurumi1,98.9,2915,US,unknown,"[""unknown_quantity""]",
ebay_search,https://www.ebay.com/itm/358511771280?_skw=breville+barista+express&hash=item5378f77e90:g:lMwAAeSwPmNp9irt,Breville the Barista Express Espresso Machine -  Stainless Steel (E10048614),2026-05-04T17:45:35.829919+00:00,,,{},new,0,1,469.95,,,findlotsmorestore,99.0,196,US,unknown,"[""unknown_quantity""]",
ebay_search,https://www.ebay.com/itm/157428929998?_skw=breville+barista+express&hash=item24a77ed5ce:g:yWwAAeSwJKtpG5O5,Breville BES870XL Barista Express - Stainless Steel,2026-05-04T17:45:35.830105+00:00,,,{},new,0,1,549.95,,,wholelatteloveoutlet,99.1,4141,US,unknown,"[""unknown_quantity""]",
ebay_search,https://www.ebay.com/itm/198059835304?_skw=breville+barista+express&hash=item2e1d493fa8:g:exEAAeSw-PppeUoa,NEW - Breville Barista Express Brushed Stainless Steel Espresso Machine - SEALED,2026-05-04T17:45:35.830167+00:00,,,{},new,0,1,479.2,,,pimedeals077,100.0,24,US,unknown,"[""low_feedback"", ""unknown_quantity""]",
ebay_search,https://www.ebay.com/itm/147290543373?_skw=breville+barista+express&hash=item224b33550d:g:WQMAAeSwH-dp9mic,Breville Barista Express BES870BST Espresso - Black Stainless Steel (E10049902),2026-05-04T17:45:35.830213+00:00,,,{},new,0,1,529.95,,,ezpawncorpnyc,98.6,11545,US,unknown,"[""unknown_quantity""]",
ebay_search,https://www.ebay.com/itm/366381723860?_skw=breville+barista+express&hash=item554e0d70d4:g:oNUAAeSwzp1p9NB3,"Breville Barista Express® Impress Espresso Machine, 2 Liters, Brushed Stainless",2026-05-04T17:45:35.830233+00:00,,,{},new,0,1,785.0,,,bpzgap,99.6,80353,US,unknown,"[""unknown_quantity""]",
universal_ai_search,https://www.amazon.com/Breville-BES870XL-Barista-Express-Espresso/dp/B00CH9QWOU/ref=sr_1_27?dib=eyJ2IjoiMSJ9.D4_GZWbP6WoIWzdeVDjtitiUQGko0piaa-O03c38dnzj246zi6UHaTQZODMNwji37hNMBWaL30C7DCUujLKug6_zN25F3mX5pyU_tuQhzzO9GPSksgehOt5WmgP8T46Qjqo0WFY0bgxXhXr1aV2KD0VGKcxXhHH50FK6tpDmstzzocQRF3_BVcWUYp2PGB-X47ayeqq484tkRzhwxYBr3bs8yKnejsllhXr7s_JccfDOVOBTUXV2UvF1EuggVH3wGumrW82INH4VqIS-5DrPXtitQB1JEdZ7cwJncC6Myrk.jGFeNpuKPo0RrbuvBylvtWU7fhBlUqln2xUFa2kXXeg&dib_tag=se&keywords=breville+barista+express&qid=1777916744&sr=8-27,"Breville Barista Express Espresso Machine BES870XL, Brushed Stainless Steel",2026-05-04T17:45:58.718607+00:00,,,"{""extractor"": ""anchor_llm"", ""vendor_host"": ""www.amazon.com""}",new,0,1,422.12,,,www.amazon.com,,,,unknown,"[""low_feedback"", ""unknown_quantity""]",
universal_ai_search,https://www.amazon.com/Breville-Express%C2%AE-Espresso-Stainless-BES876BSS/dp/B0BBYNPV33/ref=sr_1_28?dib=eyJ2IjoiMSJ9.D4_GZWbP6WoIWzdeVDjtitiUQGko0piaa-O03c38dnzj246zi6UHaTQZODMNwji37hNMBWaL30C7DCUujLKug6_zN25F3mX5pyU_tuQhzzO9GPSksgehOt5WmgP8T46Qjqo0WFY0bgxXhXr1aV2KD0VGKcxXhHH50FK6tpDmstzzocQRF3_BVcWUYp2PGB-X47ayeqq484tkRzhwxYBr3bs8yKnejsllhXr7s_JccfDOVOBTUXV2UvF1EuggVH3wGumrW82INH4VqIS-5DrPXtitQB1JEdZ7cwJncC6Myrk.jGFeNpuKPo0RrbuvBylvtWU7fhBlUqln2xUFa2kXXeg&dib_tag=se&keywords=breville+barista+express&qid=1777916744&sr=8-28,"Breville Barista Express Impress Espresso Machine BES876BSS, Brushed Stainless Steel",2026-05-04T17:45:58.718607+00:00,,,"{""extractor"": ""anchor_llm"", ""vendor_host"": ""www.amazon.com""}",new,0,1,490.07,,,www.amazon.com,,,,unknown,"[""low_feedback"", ""unknown_quantity""]",
