source,url,title,fetched_at,brand,mpn,attrs,condition,is_kit,kit_module_count,unit_price_usd,kit_price_usd,quantity_available,seller_name,seller_rating_pct,seller_feedback_count,ship_from_country,qvl_status,flags,total_for_target_usd
ebay_search,https://www.ebay.com/itm/197322184987?_skw=AMD+EPYC+9255&hash=item2df151991b:g:8PcAAeSwLGBp79bn,5TH GEN AMD EPYC 24 CORE PROCESSOR 9255 3.2GHZ 200W UNLOCKED CPU 100-000000694,2026-05-17T05:30:10.875193+00:00,,,{},new,0,1,2795.0,,,sale2day,99.8,11095,US,unknown,[],
ebay_search,https://www.ebay.com/itm/188317908391?_skw=AMD+EPYC+9255&hash=item2bd89f3da7:g:z~oAAeSwcGJo20Rh&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGa4WlubggvTRUcled11pUAZtEzUGtdklepoctee%2BGFOUoekXxeSqDl2NZb20qxoL2erTJaJ8ifs%2FRMaGdpjkfIKUzynZ0CrOfPolFExRzuODOCybBW%2FlFW09qKe%2Fe3SKhKTPGTNIw90No1ifapUKa9hhEAcZZlPsDr2PT8%2BgTC2bhOMpj%2FXSvKknbAwkbE9CuEvg0ef3sKT2Rul06BYCHUoczUDT3AGej9ABtKP3AOSbWUYC6qUd0pCBDo%2B%2FA7pkyf0Be3WvyyXd63kloMwg89HHWPF%2FCU5roVsSC5ESuD8%2BA%3D%3D,AMD EPYC TURIN SP5 ZEN5 9255 24-Core 3.2GHz Processor CPU,2026-05-17T05:30:10.875252+00:00,,,{},new,0,1,2299.0,,,cafe.electronics,100.0,684,US,unknown,[],
ebay_search,https://www.ebay.com/itm/356850961441?_skw=AMD+EPYC+9255&hash=item5315f98c21:g:9IEAAOSwEzFoFKjh&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGY%2B%2B3Y7LudbOxYOuWKZ%2Fkk%2BW7aqs5phK5wjEGN%2BSVe%2BC1OqMrjcwewE8%2B3d6p0LIq5l1gT7BYxyrdkbfzukBb0efBkmngK6RMJqjXf6e5bqLsxVXOhdGQaVHG4gvMG4Q2Yg4GTvF38orNo5BLSS8giWwlcTKrELyLNPdAcpeWiRWlKrm0ywsjramhEdvHW71RTKAy0clorwtYAHRS714XbFF0EP50DekXEMaw9xmWZD4fCVaSaJpuPq8kWPNhjKbIiUCYKU%2ByKNwnZJxM6wzZbcG1a13qi9XJOCa7NAno3TnQ%3D%3D,AMD EPYC 9255 24-core 48-thread 3.2GHz-4.3GHz CPU SP5 200W server CPU processor,2026-05-17T05:30:10.875291+00:00,,,{},new,0,1,2799.0,,,wk66888,100.0,378,CN,unknown,[],
ebay_search,https://www.ebay.com/itm/236777006525?_skw=AMD+EPYC+9255&hash=item37210265bd:g:TK0AAeSwKuRp673-,"AMD 100-000000694 EPYC 9255 24-Core 3.20GHz 200W 128MB SP5 Processor ""UNLOCKED""",2026-05-17T05:30:10.875312+00:00,,,{},new,0,1,3224.0,,,serverque,99.7,979,US,unknown,[],
ebay_search,https://www.ebay.com/itm/406754045233?_skw=AMD+EPYC+9255&hash=item5eb46e2d31:g:0E0AAeSwlNtpsHkt,100-000000694 AMD EPYC 9255 24-Core 3.20GHz 128MB 200W SP3 Unlocked Processor,2026-05-17T05:30:10.875333+00:00,,,{},new,0,1,3221.99,,,techsupplypro,100.0,728,US,unknown,[],
ebay_search,https://www.ebay.com/itm/116526920310?_skw=AMD+EPYC+9255&hash=item1b218bb276:g:rSkAAOSwcTZn2oVy,AMD EPYC 9255 24 Cores 48 Threads 3.2GHz-4.3GHz CPU SP5 200W Server Processors,2026-05-17T05:30:10.875351+00:00,,,{},used,0,1,2820.0,,,yzhan-695,97.1,8166,CN,unknown,[],
ebay_search,https://www.ebay.com/itm/306528654136?_skw=AMD+EPYC+9255&hash=item475e881338:g:ViwAAeSwRido3tGX,100-000000694 AMD EPYC 9255 24-Cores  4.3GHz SP5 128MB 200W CPU PROCESSOR,2026-05-17T05:30:10.875390+00:00,,,{},new,0,1,3222.99,,,backup_servers,99.2,1317,US,unknown,[],
ebay_search,https://www.ebay.com/itm/197093743987?_skw=AMD+EPYC+9255&hash=item2de3b3dd73:g:hZ4AAOSwJQNnzqZ4,AMD EPYC 9255 24 Cores 48 Threads 3.2GHz-4.3GHz CPU SP5 200W Server Processors,2026-05-17T05:30:10.875408+00:00,,,{},used,0,1,2820.0,,,serversseller,86.8,7066,CN,unknown,[],
ebay_search,https://www.ebay.com/itm/177085759112?_skw=AMD+EPYC+9255&hash=item293b223e88:g:cL4AAOSwC65oINo2,AMD EPYC 9255 CPU processor 24 core 48 thread 3.2GHz-4.3GHz CPU SP5 200W,2026-05-17T05:30:10.875441+00:00,,,{},new,0,1,2287.48,,,tugm4470,99.0,5521,CN,unknown,[],
ebay_search,https://www.ebay.com/itm/135782620652?_skw=AMD+EPYC+9255&hash=item1f9d465dec:g:cL4AAOSwC65oINo2,AMD EPYC 9255 CPU processor 24 core 48 thread 3.2GHz-4.3GHz CPU SP5 200W,2026-05-17T05:30:10.875458+00:00,,,{},new,0,1,2287.48,,,inwm9492,100.0,6097,CN,unknown,[],
